*2025/09/10/00:00 업데이트

OUI		OUI(:)		OUI(소문자)	OUI(:소문자)			제조사
------------------------------------------------------------------------------------------------------------------------------------------
F8-D2-AC   	F8:D2:AC   	f8-d2-ac   	f8:d2:ac   			Vantiva USA LLC
CC-F3-C8   	CC:F3:C8   	cc-f3-c8   	cc:f3:c8   			Vantiva USA LLC
40-F3-B0   	40:F3:B0   	40-f3-b0   	40:f3:b0   			Texas Instruments
14-9C-EF   	14:9C:EF   	14-9c-ef   	14:9c:ef   			Texas Instruments
80-C4-1B   	80:C4:1B   	80-c4-1b   	80:c4:1b   			Texas Instruments
34-68-B5   	34:68:B5   	34-68-b5   	34:68:b5   			Texas Instruments
58-AD-12   	58:AD:12   	58-ad-12   	58:ad:12   			Apple, Inc.
60-FD-A6   	60:FD:A6   	60-fd-a6   	60:fd:a6   			Apple, Inc.
80-A9-97   	80:A9:97   	80-a9-97   	80:a9:97   			Apple, Inc.
34-8C-5E   	34:8C:5E   	34-8c-5e   	34:8c:5e   			Apple, Inc.
D0-B2-C4   	D0:B2:C4   	d0-b2-c4   	d0:b2:c4   			Vantiva USA LLC
80-C6-AB   	80:C6:AB   	80-c6-ab   	80:c6:ab   			Vantiva USA LLC
38-3F-B3   	38:3F:B3   	38-3f-b3   	38:3f:b3   			Vantiva USA LLC
64-12-36   	64:12:36   	64-12-36   	64:12:36   			Vantiva USA LLC
0C-75-D2   	0C:75:D2   	0c-75-d2   	0c:75:d2   			Hangzhou Hikvision Digital Technology Co.,Ltd.
D8-77-66   	D8:77:66   	d8-77-66   	d8:77:66   			Nurivoice Co., Ltd
B8-A7-5E   	B8:A7:5E   	b8-a7-5e   	b8:a7:5e   			Wuxi Xinjie Electric Co.,Ltd
8C-53-E6   	8C:53:E6   	8c-53-e6   	8c:53:e6   			Wistron Neweb Corporation
70-81-85   	70:81:85   	70-81-85   	70:81:85   			New H3C Technologies Co., Ltd
50-D3-3B   	50:D3:3B   	50-d3-3b   	50:d3:3b   			cloudnineinfo
84-C8-A0   	84:C8:A0   	84-c8-a0   	84:c8:a0   			Hui Zhou Gaoshengda Technology Co.,LTD
8C-3B-4A   	8C:3B:4A   	8c-3b-4a   	8c:3b:4a   			Universal Global Scientific Industrial Co., Ltd.
A8-8B-28   	A8:8B:28   	a8-8b-28   	a8:8b:28   			SHENZHEN DIYANG SMART TECHNOLOGY CO.,LTD.
08-F0-1E   	08:F0:1E   	08-f0-1e   	08:f0:1e   			eero inc.
18-A5-FF   	18:A5:FF   	18-a5-ff   	18:a5:ff   			Arcadyan Corporation
8C-1A-F3   	8C:1A:F3   	8c-1a-f3   	8c:1a:f3   			Shenzhen Gooxi Information Security CO.,Ltd.
F4-B6-C6   	F4:B6:C6   	f4-b6-c6   	f4:b6:c6   			Indra Heera Technology LLP
6C-03-B5   	6C:03:B5   	6c-03-b5   	6c:03:b5   			Cisco Systems, Inc
58-C4-1E   	58:C4:1E   	58-c4-1e   	58:c4:1e   			IEEE Registration Authority
A8-91-62   	A8:91:62   	a8-91-62   	a8:91:62   			Sophos Ltd
70-98-83   	70:98:83   	70-98-83   	70:98:83   			SHENZHEN KAYAN ELECTRONICS., LTD.
F4-3A-7B   	F4:3A:7B   	f4-3a-7b   	f4:3a:7b   			zte corporation
68-9E-29   	68:9E:29   	68-9e-29   	68:9e:29   			zte corporation
E4-40-97   	E4:40:97   	e4-40-97   	e4:40:97   			GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
DC-B4-CA   	DC:B4:CA   	dc-b4-ca   	dc:b4:ca   			GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
8C-D5-4A   	8C:D5:4A   	8c-d5-4a   	8c:d5:4a   			TAIYO YUDEN CO.,LTD
A0-02-A5   	A0:02:A5   	a0-02-a5   	a0:02:a5   			Intel Corporate
AC-C0-48   	AC:C0:48   	ac-c0-48   	ac:c0:48   			OnePlus Technology (Shenzhen) Co., Ltd
40-84-32   	40:84:32   	40-84-32   	40:84:32   			Microchip Technology Inc.
44-D5-C1   	44:D5:C1   	44-d5-c1   	44:d5:c1   			EM Microelectronic
94-3B-B1   	94:3B:B1   	94-3b-b1   	94:3b:b1   			Kaon Group Co., Ltd.
44-F0-34   	44:F0:34   	44-f0-34   	44:f0:34   			Kaon Group Co., Ltd.
88-8F-10   	88:8F:10   	88-8f-10   	88:8f:10   			Shenzhen Max Infinite Technology Co.,Ltd.
C4-79-9F   	C4:79:9F   	c4-79-9f   	c4:79:9f   			Haiguang Smart Device Co.,Ltd.
84-28-59   	84:28:59   	84-28-59   	84:28:59   			Amazon Technologies Inc.
50-16-F4   	50:16:F4   	50-16-f4   	50:16:f4   			Motorola Mobility LLC, a Lenovo Company
3C-08-CD   	3C:08:CD   	3c-08-cd   	3c:08:cd   			Juniper Networks
68-50-5D   	68:50:5D   	68-50-5d   	68:50:5d   			Halo Technologies
7C-6A-8A   	7C:6A:8A   	7c-6a-8a   	7c:6a:8a   			SINOBONDER Technology Co., Ltd.
90-EC-E3   	90:EC:E3   	90-ec-e3   	90:ec:e3   			Nokia
88-7B-2C   	88:7B:2C   	88-7b-2c   	88:7b:2c   			zte corporation
60-DB-EF   	60:DB:EF   	60-db-ef   	60:db:ef   			Unify Software and Solutions GmbH & Co. KG
00-16-F6   	00:16:F6   	00-16-f6   	00:16:f6   			Nevion
40-B7-FC   	40:B7:FC   	40-b7-fc   	40:b7:fc   			Phyplus Microelectronics Limited
68-2C-4F   	68:2C:4F   	68-2c-4f   	68:2c:4f   			leerang corporation
68-DD-B7   	68:DD:B7   	68-dd-b7   	68:dd:b7   			TP-LINK TECHNOLOGIES CO.,LTD.
14-D8-64   	14:D8:64   	14-d8-64   	14:d8:64   			TP-LINK TECHNOLOGIES CO.,LTD.
B8-51-A9   	B8:51:A9   	b8-51-a9   	b8:51:a9   			Nokia
D0-77-CE   	D0:77:CE   	d0-77-ce   	d0:77:ce   			Edgecore Networks Corporation
EC-AF-F9   	EC:AF:F9   	ec-af-f9   	ec:af:f9   			Hailo Technologies Ltd.
FC-59-C0   	FC:59:C0   	fc-59-c0   	fc:59:c0   			Arista Networks
64-1B-2F   	64:1B:2F   	64-1b-2f   	64:1b:2f   			Samsung Electronics Co.,Ltd
9C-73-B1   	9C:73:B1   	9c-73-b1   	9c:73:b1   			Samsung Electronics Co.,Ltd
38-8A-06   	38:8A:06   	38-8a-06   	38:8a:06   			Samsung Electronics Co.,Ltd
B0-D8-88   	B0:D8:88   	b0-d8-88   	b0:d8:88   			Panasonic Automotive Systems Co.,Ltd
40-D4-F6   	40:D4:F6   	40-d4-f6   	40:d4:f6   			Honor Device Co., Ltd.
7C-31-80   	7C:31:80   	7c-31-80   	7c:31:80   			SMK corporation
90-56-07   	90:56:07   	90-56-07   	90:56:07   			Sichuan AI-Link Technology Co., Ltd.
48-31-33   	48:31:33   	48-31-33   	48:31:33   			Robert Bosch Elektronika Kft.
B8-AB-61   	B8:AB:61   	b8-ab-61   	b8:ab:61   			Cisco Meraki
78-2D-AD   	78:2D:AD   	78-2d-ad   	78:2d:ad   			HUAWEI TECHNOLOGIES CO.,LTD
D0-61-58   	D0:61:58   	d0-61-58   	d0:61:58   			HUAWEI TECHNOLOGIES CO.,LTD
24-4B-F1   	24:4B:F1   	24-4b-f1   	24:4b:f1   			HUAWEI TECHNOLOGIES CO.,LTD
60-15-2B   	60:15:2B   	60-15-2b   	60:15:2b   			Palo Alto Networks
44-D7-7E   	44:D7:7E   	44-d7-7e   	44:d7:7e   			Robert Bosch GmbH
90-88-55   	90:88:55   	90-88-55   	90:88:55   			Cisco Systems, Inc
68-71-61   	68:71:61   	68-71-61   	68:71:61   			Cisco Systems, Inc
88-3F-37   	88:3F:37   	88-3f-37   	88:3f:37   			UHTEK CO., LTD.
00-80-B8   	00:80:B8   	00-80-b8   	00:80:b8   			DMG MORI Digital Co., LTD
28-73-F6   	28:73:F6   	28-73-f6   	28:73:f6   			Amazon Technologies Inc.
C4-EB-FF   	C4:EB:FF   	c4-eb-ff   	c4:eb:ff   			zte corporation
48-93-DC   	48:93:DC   	48-93-dc   	48:93:dc   			UNIWAY INFOCOM PVT LTD
5C-E6-88   	5C:E6:88   	5c-e6-88   	5c:e6:88   			VECOS Europe B.V.
5C-28-86   	5C:28:86   	5c-28-86   	5c:28:86   			Inventec(Chongqing) Corporation
D4-BA-FA   	D4:BA:FA   	d4-ba-fa   	d4:ba:fa   			GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
4C-EC-0F   	4C:EC:0F   	4c-ec-0f   	4c:ec:0f   			Cisco Systems, Inc
84-3E-1D   	84:3E:1D   	84-3e-1d   	84:3e:1d   			Hui Zhou Gaoshengda Technology Co.,LTD
E0-CB-1D   	E0:CB:1D   	e0-cb-1d   	e0:cb:1d   			Amazon Technologies Inc.
FC-84-A7   	FC:84:A7   	fc-84-a7   	fc:84:a7   			Murata Manufacturing Co., Ltd.
3C-CB-4D   	3C:CB:4D   	3c-cb-4d   	3c:cb:4d   			Avikus Co., Ltd
60-1B-52   	60:1B:52   	60-1b-52   	60:1b:52   			Vodafone Italia S.p.A.
24-A4-2C   	24:A4:2C   	24-a4-2c   	24:a4:2c   			NETIO products a.s.
70-2F-86   	70:2F:86   	70-2f-86   	70:2f:86   			Marquardt GmbH
C0-8F-20   	C0:8F:20   	c0-8f-20   	c0:8f:20   			Shenzhen Skyworth Digital  Technology  CO., Ltd
08-FF-24   	08:FF:24   	08-ff-24   	08:ff:24   			Shenzhen Skyworth Digital  Technology  CO., Ltd
90-B6-7A   	90:B6:7A   	90-b6-7a   	90:b6:7a   			Shenzhen Skyworth Digital  Technology  CO., Ltd
24-9A-C8   	24:9A:C8   	24-9a-c8   	24:9a:c8   			Shenzhen Skyworth Digital  Technology  CO., Ltd
A8-88-1F   	A8:88:1F   	a8-88-1f   	a8:88:1f   			SERVERCOM (INDIA) PRIVATE LIMITED
00-50-79   	00:50:79   	00-50-79   	00:50:79   			Private
28-C0-1B   	28:C0:1B   	28-c0-1b   	28:c0:1b   			Shenzhen Skyworth Digital  Technology  CO., Ltd
E0-28-B1   	E0:28:B1   	e0-28-b1   	e0:28:b1   			Shenzhen Skyworth Digital  Technology  CO., Ltd
30-31-80   	30:31:80   	30-31-80   	30:31:80   			Shenzhen Skyworth Digital  Technology  CO., Ltd
20-15-82   	20:15:82   	20-15-82   	20:15:82   			Apple, Inc.
40-92-1A   	40:92:1A   	40-92-1a   	40:92:1a   			Apple, Inc.
10-E2-C9   	10:E2:C9   	10-e2-c9   	10:e2:c9   			Apple, Inc.
04-36-B8   	04:36:B8   	04-36-b8   	04:36:b8   			I&C Technology
D0-43-1E   	D0:43:1E   	d0-43-1e   	d0:43:1e   			Dell Inc.
F0-A0-B1   	F0:A0:B1   	f0-a0-b1   	f0:a0:b1   			HUAWEI TECHNOLOGIES CO.,LTD
40-4F-42   	40:4F:42   	40-4f-42   	40:4f:42   			HUAWEI TECHNOLOGIES CO.,LTD
30-86-F1   	30:86:F1   	30-86-f1   	30:86:f1   			Fiberhome Telecommunication Technologies Co.,LTD
00-C0-4F   	00:C0:4F   	00-c0-4f   	00:c0:4f   			Dell Inc.
00-B0-D0   	00:B0:D0   	00-b0-d0   	00:b0:d0   			Dell Inc.
00-19-B9   	00:19:B9   	00-19-b9   	00:19:b9   			Dell Inc.
